"year","puma","sba","borough","n","MaleProp","FemaleProp","MedianAge","ImmProp","NImmProp","ImmProp2","MedianIncome","MedianRent","MedianHValue","RentingProp","Renters","OwningProp","Owners","Morters","MortProp","MedianRate","SheltBurd"
1991,"3701","BX01","BX",245,0.497959183673469,0.502040816326531,50,0.392070484581498,0.607929515418502,NA,25145,501,1e+05,0.746938775510204,183,0.244897959183673,60,27,0.45,NA,0.271153846153846
1991,"3702","BX02","BX",228,0.469298245614035,0.530701754385965,44,0.495049504950495,0.504950495049505,NA,21600,540,170000,0.671052631578947,153,0.320175438596491,73,43,0.589041095890411,NA,0.304318174891036
1991,"3703","BX03","BX",216,0.527777777777778,0.472222222222222,58,0.222222222222222,0.777777777777778,NA,30000,552.5,175000,0.583333333333333,126,0.412037037037037,89,34,0.382022471910112,NA,0.263333333333333
1991,"3704","BX04","BX",223,0.533632286995516,0.466367713004484,50.5,0.292682926829268,0.707317073170732,NA,19250,444,190000,0.695067264573991,155,0.291479820627803,65,37,0.569230769230769,NA,0.2776
1991,"3705","BX05","BX",230,0.233480176211454,0.766519823788546,40,0.41743119266055,0.582568807339449,NA,8390,344,150000,0.947826086956522,218,0.0434782608695652,10,8,0.8,NA,0.319723183391003
1991,"3706","BX06","BX",227,0.469026548672566,0.530973451327434,41.5,0.492753623188406,0.507246376811594,NA,20250,491.5,1e+05,0.903083700440529,205,0.0837004405286344,19,12,0.631578947368421,NA,0.28
1991,"3707","BX07","BX",203,0.348258706467662,0.651741293532338,39,0.530054644808743,0.469945355191257,NA,13656,434,172500,0.955665024630542,194,0.0443349753694581,9,6,0.666666666666667,NA,0.333556586270872
1991,"3708","BX08","BX",200,0.32,0.68,40,0.552083333333333,0.447916666666667,NA,10322,410.5,6800,0.93,186,0.04,8,1,0.125,NA,0.353076923076923
1991,"3709","BX09","BX",286,0.465034965034965,0.534965034965035,45,0.551867219917012,0.448132780082988,NA,20000,443,90000,0.783216783216783,224,0.202797202797203,58,43,0.741379310344828,NA,0.276797175866496
1991,"3710","BX10","BX",213,0.231132075471698,0.768867924528302,42,0.594202898550725,0.405797101449275,NA,6724,295,70000,0.953051643192488,203,0.0375586854460094,8,3,0.375,NA,0.340575455079272
1991,"3801","MN01","MN",365,0.428571428571429,0.571428571428571,45.5,0.664495114006515,0.335504885993485,NA,18220,469,110000,0.931506849315068,340,0.0547945205479452,20,6,0.3,NA,0.305754010695187
1991,"3802","MN02","MN",239,0.394957983193277,0.605042016806723,45,0.435555555555556,0.564444444444445,NA,14019,430,175000,0.891213389121339,213,0.0753138075313808,18,9,0.5,NA,0.309255632183908
1991,"3803","MN03","MN",240,0.285714285714286,0.714285714285714,47,0.110599078341014,0.889400921658986,NA,9206,315,64500,0.929166666666667,223,0.0375,9,3,0.333333333333333,NA,0.3688
1991,"3804","MN04","MN",214,0.342723004694836,0.657276995305164,46.5,0.45320197044335,0.54679802955665,NA,10233,320,3200,0.892523364485981,191,0.088785046728972,19,11,0.578947368421053,NA,0.285791111281835
1991,"3805","MN05","MN",638,0.437598736176935,0.562401263823065,43,0.229411764705882,0.770588235294118,NA,51000,800,272500,0.691222570532915,441,0.283699059561129,181,108,0.596685082872928,NA,0.229411764705882
1991,"3806","MN06","MN",570,0.442105263157895,0.557894736842105,43.5,0.246153846153846,0.753846153846154,NA,35000,590,178000,0.735087719298246,419,0.235087719298246,134,77,0.574626865671642,NA,0.24288
1991,"3807","MN07","MN",360,0.502777777777778,0.497222222222222,42,0.309309309309309,0.690690690690691,NA,35800,632.5,150000,0.786111111111111,283,0.202777777777778,73,33,0.452054794520548,NA,0.256053077357425
1991,"3808","MN08","MN",460,0.458515283842795,0.541484716157205,43,0.224543080939948,0.775456919060052,NA,45692,795,170000,0.743478260869565,342,0.23695652173913,109,69,0.63302752293578,NA,0.240357142857143
1991,"3809","MN09","MN",359,0.506963788300836,0.493036211699164,45,0.515723270440252,0.484276729559748,NA,15019.5,346,10000,0.835654596100279,300,0.153203342618384,55,10,0.181818181818182,NA,0.27
1991,"3810","MN10","MN",335,0.541916167664671,0.458083832335329,42,0.208053691275168,0.791946308724832,NA,41750,723,2e+05,0.719402985074627,241,0.259701492537313,87,50,0.574712643678161,NA,0.246984909146905
1991,"3901","SI01","SI",224,0.71875,0.28125,46,0.149532710280374,0.850467289719626,NA,50500,634,2e+05,0.25,56,0.745535714285714,167,118,0.706586826347305,NA,0.222012820512821
1991,"3902","SI02","SI",219,0.663594470046083,0.336405529953917,44,0.227053140096618,0.772946859903382,NA,44000,615,2e+05,0.319634703196347,70,0.662100456621005,145,94,0.648275862068965,NA,0.21875
1991,"3903","SI03","SI",291,0.644827586206897,0.355172413793103,45,0.183823529411765,0.816176470588235,NA,36550,580,170000,0.481099656357388,140,0.505154639175258,147,88,0.598639455782313,NA,0.234285714285714
1991,"4001","BK01","BK",250,0.432,0.568,45,0.585774058577406,0.414225941422594,NA,15600,392.5,150000,0.816,204,0.168,42,15,0.357142857142857,NA,0.291204545454545
1991,"4002","BK02","BK",193,0.409326424870466,0.590673575129534,40.5,0.513661202185792,0.486338797814208,NA,12000,435.5,150000,0.886010362694301,171,0.0984455958549223,19,9,0.473684210526316,NA,0.291428571428571
1991,"4003","BK03","BK",203,0.415841584158416,0.584158415841584,43.5,0.272727272727273,0.727272727272727,NA,11470,391.5,150000,0.857142857142857,174,0.137931034482759,28,12,0.428571428571429,NA,0.341730380622837
1991,"4004","BK04","BK",244,0.439330543933054,0.560669456066946,42,0.223255813953488,0.776744186046512,NA,23000,489,125000,0.766393442622951,187,0.225409836065574,55,21,0.381818181818182,NA,0.253219413549039
1991,"4005","BK05","BK",222,0.486486486486487,0.513513513513513,39,0.273584905660377,0.726415094339623,NA,27508,550,250000,0.765765765765766,170,0.207207207207207,46,27,0.58695652173913,NA,0.279363609924343
1991,"4006","BK06","BK",239,0.360169491525424,0.639830508474576,42,0.450892857142857,0.549107142857143,NA,18000,456,170500,0.824267782426778,197,0.163179916317992,39,20,0.512820512820513,NA,0.29229462474645
1991,"4007","BK07","BK",195,0.257731958762887,0.742268041237113,40,0.437837837837838,0.562162162162162,NA,14000,405.5,1e+05,0.830769230769231,162,0.153846153846154,30,19,0.633333333333333,NA,0.3605
1991,"4008","BK08","BK",214,0.305164319248826,0.694835680751174,45.5,0.42713567839196,0.57286432160804,NA,17838,445,137500,0.799065420560748,171,0.186915887850467,40,28,0.7,NA,0.323499234303216
1991,"4009","BK09","BK",326,0.559375,0.440625,49.5,0.347682119205298,0.652317880794702,NA,31094,593,2e+05,0.429447852760736,140,0.56441717791411,184,115,0.625,NA,0.299253731343284
1991,"4010","BK10","BK",234,0.52991452991453,0.47008547008547,45,0.720720720720721,0.279279279279279,NA,25500,540,190000,0.653846153846154,153,0.341880341880342,80,64,0.8,NA,0.294065934065934
1991,"4011","BK11","BK",218,0.313364055299539,0.686635944700461,43,0.62037037037037,0.37962962962963,NA,22500,521,190000,0.857798165137615,187,0.142201834862385,31,21,0.67741935483871,NA,0.269874239350913
1991,"4012","BK12","BK",224,0.538116591928251,0.461883408071749,45,0.642533936651584,0.357466063348416,NA,19462,530,157000,0.723214285714286,162,0.263392857142857,59,24,0.406779661016949,NA,0.303478260869565
1991,"4013","BK13","BK",257,0.622568093385214,0.377431906614786,53,0.261904761904762,0.738095238095238,NA,25250,555,250000,0.669260700389105,172,0.319066147859922,82,41,0.5,NA,0.30248127340824
1991,"4014","BK14","BK",235,0.68936170212766,0.31063829787234,55,0.535087719298246,0.464912280701754,NA,19930,562,250000,0.617021276595745,145,0.365957446808511,86,41,0.476744186046512,NA,0.3756
1991,"4015","BK15","BK",295,0.537414965986395,0.462585034013605,42,0.577854671280277,0.422145328719723,NA,28500,536,2e+05,0.759322033898305,224,0.227118644067797,67,36,0.537313432835821,NA,0.2735
1991,"4016","BK16","BK",290,0.631944444444444,0.368055555555556,53,0.332129963898917,0.667870036101083,NA,22000,511,2e+05,0.627586206896552,182,0.362068965517241,105,48,0.457142857142857,NA,0.338182744565217
1991,"4017","BK17","BK",317,0.630914826498423,0.369085173501577,53,0.379084967320261,0.620915032679739,NA,21715.5,525,250000,0.668769716088328,212,0.321766561514196,102,54,0.529411764705882,NA,0.307402551381999
1991,"4018","BK18","BK",256,0.46875,0.53125,53,0.445344129554656,0.554655870445344,NA,13500,409,16000,0.68359375,175,0.296875,76,20,0.263157894736842,NA,0.277252467998677
1991,"4101","QN01","QN",376,0.516042780748663,0.483957219251337,43.5,0.491379310344828,0.508620689655172,NA,26200,535.5,250000,0.779255319148936,293,0.188829787234043,71,27,0.380281690140845,NA,0.247636363636364
1991,"4102","QN02","QN",254,0.589641434262948,0.410358565737052,46,0.71551724137931,0.28448275862069,NA,27000,650,180000,0.622047244094488,158,0.374015748031496,95,55,0.578947368421053,NA,0.309342877444143
1991,"4103","QN03","QN",401,0.611528822055138,0.388471177944862,49,0.455525606469003,0.544474393530997,NA,30000,653.5,2e+05,0.478802992518703,192,0.506234413965087,203,109,0.536945812807882,NA,0.28460757156048
1991,"4104","QN04","QN",203,0.620689655172414,0.379310344827586,51,0.284210526315789,0.715789473684211,NA,42000,502,220000,0.280788177339901,57,0.70935960591133,144,78,0.541666666666667,NA,0.192489307100086
1991,"4105","QN05","QN",276,0.683636363636364,0.316363636363636,49,0.346007604562738,0.653992395437262,NA,32215,740,160000,0.286231884057971,79,0.710144927536232,196,132,0.673469387755102,NA,0.30975
1991,"4106","QN06","QN",272,0.591078066914498,0.408921933085502,46,0.385826771653543,0.614173228346457,NA,35000,530.5,2e+05,0.547794117647059,149,0.444852941176471,121,70,0.578512396694215,NA,0.237563909774436
1991,"4107","QN07","QN",210,0.638095238095238,0.361904761904762,45,0.7,0.3,NA,27000,585,2e+05,0.747619047619048,157,0.238095238095238,50,27,0.54,NA,0.2619
1991,"4108","QN08","QN",260,0.548262548262548,0.451737451737452,46.5,0.461187214611872,0.538812785388128,NA,34000,637,120000,0.607692307692308,158,0.376923076923077,98,57,0.581632653061224,NA,0.260346889952153
1991,"4109","QN09","QN",232,0.653679653679654,0.346320346320346,47,0.657142857142857,0.342857142857143,NA,27000,572.5,150000,0.681034482758621,158,0.288793103448276,67,32,0.477611940298507,NA,0.295609756097561
